Brand,Interval_Week,Sample_Count,Avg_MPI,Sigma_Randomness,Avg_Heat
Apple,0,434.0,0.4088031014079906,0.15003390850198983,0.0604321198014345
Apple,1,265.0,0.3925480803624147,0.14247254287910815,0.051442774279781105
Apple,2,189.0,0.369845387062659,0.17060001249663123,-0.008428387117212412
Apple,3,145.0,0.3853857069308388,0.1668342164584848,0.10860474601644894
Apple,4,150.0,0.3828814098238945,0.18234028137964697,0.049362286341687045
Apple,5,176.0,0.3988901238084178,0.15141880236979288,0.10449613988484172
Apple,6,167.0,0.3785855862685663,0.16627275088748403,0.14697083738258857
Apple,7,142.0,0.3823506980609726,0.15473749771590348,0.10394477055893397
Apple,8,91.0,0.35859025163309916,0.17080689361874168,0.09447418931093844
Apple,9,97.0,0.39272813496093467,0.16671412449087944,0.0724228105325367
Apple,10,69.0,0.41975397773195006,0.1284874044283236,0.023899586790281792
Apple,11,97.0,0.34985832790796134,0.1630775852044911,0.12517683394253254
Apple,12,132.0,0.3641550417594386,0.1575260923758765,0.11656845753278697
Apple,13,123.0,0.3833532795552316,0.16181078277754923,0.04969016509509184
Apple,14,99.0,0.32985930108568734,0.18439946248098968,0.06591650728851256
Apple,15,97.0,0.3234422240867135,0.195527608767696,0.16577946068238966
Apple,16,92.0,0.35176653615401493,0.1608299062378772,0.20990852456863807
Apple,17,110.0,0.343517409840768,0.1504460761006261,0.2220312961461869
Apple,18,81.0,0.3502203171129948,0.1651213923662768,0.07715028473808441
Apple,19,86.0,0.3644820513680231,0.1668537018049203,0.04725630745984787
Apple,20,60.0,0.3399449284654111,0.1617961256505177,-0.018091599208613238
Apple,21,71.0,0.3451475085769321,0.17255452879614513,0.11440068273477151
Apple,22,100.0,0.38031866155099125,0.14750147337245206,0.10865371303632855
Apple,23,91.0,0.3589596080256032,0.1722974614004576,0.16730422342380324
Apple,24,77.0,0.3690495252875345,0.1556038512097769,-0.013633887924544223
Apple,25,78.0,0.3981996451814969,0.12226547438980415,-0.010812340972897334
Apple,26,135.0,0.3370419982682776,0.178405523893225,-0.039338911904229064
Apple,27,165.0,0.3560553384994185,0.18027313318159005,0.07607136465834849
Apple,28,173.0,0.3171975622969717,0.18966177138940954,0.12073422073671929
Apple,29,92.0,0.33332420248821704,0.17692363299647532,0.04332109787703856
Apple,30,57.0,0.3811134586862305,0.14836713673827248,0.019614980605087783
Apple,31,42.0,0.3436730089819148,0.16667714955416105,0.14059124434632914
Apple,32,57.0,0.357217510851721,0.15114973107857418,0.18713447451591492
Apple,33,45.0,0.37292981031868194,0.1266835747369472,0.032382101482815215
Apple,34,34.0,0.3618236199459609,0.17602136789558948,0.08235615174121716
Apple,35,44.0,0.36662766320461576,0.16622393190731893,0.09508861249990085
Apple,36,30.0,0.3227015804188947,0.18444785170696693,0.3068871642152468
Apple,37,36.0,0.3551754189862145,0.16918407019063997,0.290853925773667
Apple,38,57.0,0.3463897301178229,0.17338001350955345,0.2589228895019021
Apple,39,80.0,0.35038723090547136,0.18642250877836244,0.23555380562320352
Apple,40,58.0,0.38701423848497457,0.12897340200552845,0.08491798805008674
Apple,41,53.0,0.3430052714220266,0.1759725193262767,0.27298939720077336
Apple,42,88.0,0.3264824817253446,0.18601131311472507,0.10942369056018916
Apple,43,120.0,0.30517353683826515,0.18036499676799156,0.16798332516724865
Apple,44,53.0,0.3664485928778238,0.1709480822368262,0.010253578529886488
Apple,45,47.0,0.3530663204716241,0.18783108775434715,0.08298544688744748
Apple,46,57.0,0.37756251092804105,0.1544959993295476,0.01832030292012189
Apple,47,43.0,0.3293207340581386,0.17945284815393314,0.15462525162932483
Apple,48,63.0,0.3232954145364818,0.17747745560940814,0.08506056146016197
Apple,49,69.0,0.3749594392956815,0.14981706313662618,0.16715648435596106
Apple,50,52.0,0.37752575343116546,0.14624897190367364,0.12218103271264297
Apple,51,46.0,0.39680106937885284,0.11375128497992736,0.04488739581859629
Apple,52,59.0,0.33831067705305956,0.2012860925807161,0.023795789360242375
Apple,53,35.0,0.3594597748613783,0.1628639626176212,0.08389316680175918
Apple,54,23.0,0.40674116430075274,0.13056377412871564,0.06956865703282147
Apple,55,43.0,0.36417064347932504,0.16960597438308542,0.14282578247231106
Apple,56,25.0,0.38203597228974107,0.13586892934572686,0.0332479727268219
Apple,57,33.0,0.3372879862559564,0.1577500922230495,0.08324939373767737
Apple,58,29.0,0.3647170003888936,0.18166049886100052,0.016264937561133806
Apple,59,29.0,0.3655683262080982,0.17102825766152058,-0.010424628596881333
Apple,60,22.0,0.4007156071337787,0.1129054078979532,-0.062444408593529996
Apple,61,37.0,0.35043868915857496,0.17974716069628874,0.1678910876649457
Apple,62,38.0,0.3756866697712164,0.16558046366401774,0.15444564152705043
Apple,63,42.0,0.3809433718145426,0.14810197948075365,0.040898538416340245
Apple,64,29.0,0.3391602436273262,0.16940025299498915,0.32436964134203977
Apple,65,41.0,0.3693751340686548,0.1695622182412557,0.18692249341345415
Apple,66,30.0,0.37025496720646817,0.1472267907010828,0.1667405240237713
Apple,67,32.0,0.34007132216356695,0.1674016011359966,0.10163851652760057
Apple,68,27.0,0.38455776442532186,0.15013391734689252,0.11867855392672395
Apple,69,21.0,0.38037310629373505,0.1698877228298848,-0.03264469671107474
Apple,70,36.0,0.39083559190233547,0.11774999309658647,0.13965163007378578
Apple,71,27.0,0.3376413189150669,0.1479356611521156,0.2891899132066303
Apple,72,39.0,0.3056214735843241,0.2001663097063953,0.2234497596629155
Apple,73,26.0,0.3395873378389157,0.1884264223162256,0.3223758081977184
Apple,74,27.0,0.37549194583186396,0.1558595569459897,0.2808125174983784
Apple,75,20.0,0.3770986333489418,0.1235309423960324,0.26295600049197676
Apple,76,20.0,0.3121979350224137,0.19420376590682784,0.3523624248802662
Apple,77,14.0,0.308719843093838,0.19423678783101408,0.2623198748167072
Apple,78,27.0,0.2855607151157326,0.19329080459520226,0.3597876886250796
Apple,79,29.0,0.23483587165587935,0.2174192252127723,0.266752268990566
Apple,80,27.0,0.3180367095154469,0.22161933401609135,0.4135043151952602
Apple,81,23.0,0.2863690462368338,0.19616482799111143,0.28526410217518394
Apple,82,29.0,0.28525369357446145,0.1883912539274902,0.1992425786267067
Apple,83,44.0,0.28214472911151295,0.20832461503971367,0.2413731972178952
Apple,84,37.0,0.2497727564737402,0.22170804976559813,0.2891834869578078
Apple,85,45.0,0.24907043961187203,0.20605608024887678,0.31959727596905496
Apple,86,18.0,0.23772172433220679,0.21658719072459245,0.58036509114835
Apple,87,48.0,0.2764904741585876,0.1668584895360838,0.04764704476110635
Apple,88,25.0,0.2903946090489626,0.19305513919898867,0.3656489616632462
Apple,89,21.0,0.3138966649061158,0.173319491758959,0.053957921851958544
Apple,90,29.0,0.36020980250283047,0.13105468677172133,0.23747054718691724
Apple,91,37.0,0.3969883999309024,0.12101539384680007,0.13733748487524083
Apple,92,29.0,0.33752823800876225,0.15452333263211382,0.17550705617357945
Apple,93,23.0,0.3903681538675142,0.10612846790474517,-0.10025856481946033
Apple,94,19.0,0.3592591654313238,0.16997152351951342,0.24089072213361137
Apple,95,57.0,0.2991855532715195,0.173635414333612,0.1853316171388877
Apple,96,28.0,0.281865640144263,0.18427590028450788,0.1705631311716778
